Samples,Species,Archipelago,Year,Diet,Region,Latitude,Ocean,Decade
300678,Conus antoniomonteiroi,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300684,Conus crotchii,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300694,Conus cuneolus,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300705,Conus damottai,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300715,Conus delanoyi,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300728,Conus derrubado,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300760,Conus irregularis,Cape Verde,2007,Worm,Cape Verde,Tropical,Atlantic,2000s
300762,Conus longilineus,Cape Verde,2001,Worm,Cape Verde,Tropical,Atlantic,2000s
300771,Conus luquei,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300782,Conus maioensis,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300792,Conus messiasi,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300798,Conus mordeirae,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300802,Conus mordeirae,Cape Verde,2001,Worm,Cape Verde,Tropical,Atlantic,2000s
300809,Conus nivifer,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300824,Conus regonae,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300838,Conus regonae,Cape Verde,2001,Worm,Cape Verde,Tropical,Atlantic,2000s
300839,Conus salreiensis,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300864,Conus tabidus,Cape Verde,2002,Worm,Cape Verde,Tropical,Atlantic,2000s
300901,Conus chaldaeus,Hawaii,2005,Worm,Pacific Islands,Tropical,Pacific,2000s
300947,Conus ebraeus,Hawaii,2005,Worm,Pacific Islands,Tropical,Pacific,2000s
300986,Conus miles,Hawaii,2005,Worm,Pacific Islands,Tropical,Pacific,2000s
301000,Conus mustelinus,Hawaii,Unknown,Worm,Pacific Islands,Tropical,Pacific,Unknown
301003,Conus planorbis,Hawaii,2005,Worm,Pacific Islands,Tropical,Pacific,2000s
301004,Conus pulicarius,Hawaii,2005,Worm,Pacific Islands,Tropical,Pacific,2000s
301013,Conus retifer,Hawaii,2005,Mollusk,Pacific Islands,Tropical,Pacific,2000s
301085,Conus purpurascens,Panama,2000,Fish,Central America,Tropical,Pacific,2000s
301100,Conus arcuatus,Panama,2000,Worm,Central America,Tropical,Pacific,2000s
301110,Conus brunneus,Panama,2000,Worm,Central America,Tropical,Pacific,2000s
301223,Conus chaldaeus,American Samoa,2009,Worm,Pacific Islands,Tropical,Pacific,2000s
301248,Conus coronatus,American Samoa,2009,Worm,Pacific Islands,Tropical,Pacific,2000s
301257,Conus ebraeus,American Samoa,2009,Worm,Pacific Islands,Tropical,Pacific,2000s
301338,Conus lividus,American Samoa,2009,Worm,Pacific Islands,Tropical,Pacific,2000s
301361,Conus moreleti,American Samoa,2009,Worm,Pacific Islands,Tropical,Pacific,2000s
301362,Conus pulicarius,American Samoa,2009,Worm,Pacific Islands,Tropical,Pacific,2000s
301412,Conus vitulinus,American Samoa,2009,Worm,Pacific Islands,Tropical,Pacific,2000s
301422,Conus vitulinus,American Samoa,2009,Worm,Pacific Islands,Tropical,Pacific,2000s
301456,Conus gladiator,Panama,1999,Worm,Central America,Tropical,Pacific,1990s
301459,Conus gladiator,Panama,2000,Worm,Central America,Tropical,Pacific,2000s
301465,Conus jaspideus,Panama,2000,Worm,Central America,Tropical,Atlantic,2000s
301470,Conus nux,Panama,2000,Worm,Central America,Tropical,Pacific,2000s
301484,Conus recurvus,Panama,2000,Worm,Central America,Tropical,Pacific,2000s
301526,Conus gladiator,Panama,2001,Worm,Central America,Tropical,Pacific,2000s
301528,Conus ximenes,El Salvador,2001,Worm,Central America,Tropical,Pacific,2000s
301529,Conus ximenes,El Salvador,2001,Worm,Central America,Tropical,Pacific,2000s
301533,Conus miliaris,American Samoa,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301562,Conus perplexus,El Salvador,2001,Worm,Central America,Tropical,Pacific,2000s
301574,Conus rattus,Hawaii,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301579,Conus bandanus,Samoa,2000,Mollusk,Pacific Islands,Tropical,Pacific,2000s
301589,Conus canonicus,American Samoa,2000,Mollusk,Pacific Islands,Tropical,Pacific,2000s
301645,Conus eburneus,American Samoa,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301652,Conus mustelinus,American Samoa,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301657,Conus pulicarius,American Samoa,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301658,Conus rattus,American Samoa,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301661,Conus sponsalis,American Samoa,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301669,Conus abbreviatus,Hawaii,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301670,Conus anemone,Australia,Unknown,Worm,Southeast Asia and Australia,Non-Tropical,Indian,Unknown
301672,Conus brunneus,Panama,2002,Worm,Central America,Tropical,Pacific,2000s
301675,Conus capitaneus,Samoa,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301677,Conus catus,American Samoa,2000,Fish,Pacific Islands,Tropical,Pacific,2000s
301692,Conus gladiator,Panama,2002,Worm,Central America,Tropical,Pacific,2000s
301700,Conus miles,American Samoa,2000,Worm,Pacific Islands,Tropical,Pacific,2000s
301705,Conus mus,Panama,2001,Worm,Central America,Tropical,Atlantic,2000s
301726,Conus striatus,American Samoa,2000,Fish,Pacific Islands,Tropical,Pacific,2000s
301733,Conus archon,Panama,2000,Worm,Central America,Tropical,Pacific,2000s
301737,Conus brunneus,Panama,2000,Worm,Central America,Tropical,Pacific,2000s
301755,Conus chaldaeus,Indonesia,1996,Worm,Southeast Asia and Australia,Tropical,Pacific,1990s
301769,Conus flavidus,Philippines,1997,Worm,Southeast Asia and Australia,Tropical,Pacific,1990s
301775,Conus ximenes,Panama,2001,Worm,Central America,Tropical,Pacific,2000s
301785,Conus miles,Kosrae,1995,Worm,Pacific Islands,Tropical,Pacific,1990s
