#SampleID	BarcodeSequence	LinkerPrimerSequence	Location	Town	County	State	Country	Year	Month	Substrate	Type	Size range
0175G.NorthLake			North Lake	Gregory	Washtenaw	MI	USA	2014	July	0.8 um filters	Freshwater	0.8-20um
0196G.WoodlandLake			Woodland Lake	Brighton	Livingston	MI	USA	2014	July	0.8 um filters	Freshwater	0.8-20um
0224G.Crooked			Crooked Lake	NA	Washtenaw	MI	USA	2014	July	0.8 um filters	Freshwater	0.8-20um
0238G.SmithFenInlet			Smith's Fen Inlet	Pellston	Cheboygan	MI	USA	2014	August	0.8 um filters	Freshwater	0.8-20um
0239G.SmithsFenInlet			Smith's Fen Inlet	Pellston	Cheboygan	MI	USA	2014	August	0.8 um filters	Freshwater	0.8-20um
0242G.BurtLakefar			Burt Lake far	Pellston	Cheboygan	MI	USA	2014	August	0.8 um filters	Freshwater	0.8-20um
0255G.PointHole3m			Point Hole 3m	Pellston	Cheboygan	MI	USA	2014	August	0.8 um filters	Freshwater	0.8-20um
0266D.HarborSprings			Harbor Springs	Harbor Springs	Emmet	MI	USA	2014	October	Soil	Soil	
0267D.QuandtSoil			CAQ residence	Ann Arbor	Washtenaw	MI	USA	2014	October	Soil	Soil	
0269D.KrausCourt			Kraus Building-um Campus	Ann Arbor	Washtenaw	MI	USA	2014	October	Soil	Soil	
0270G.NorthLake			North Lake	Gregory	Washtenaw	MI	USA	2014	October	0.8 um filters	Freshwater	0.8-20um
0271G.BruinLake			Bruin Lake	Lyndon Township	Washtenaw	MI	USA	2014	October	0.8 um filters	Freshwater	0.8-20um
0273G.Run2.CranePond			Crane Pond	Edwin S. George Reserve	Livingston	MI	USA	2014	October	0.8 um filters	Freshwater	0.8-20um
0273G.Run1.CranePond			Crane Pond	Edwin S. George Reserve	Livingston	MI	USA	2014	October	0.8 um filters	Freshwater	0.8-20um
0274G.Gosling			Gosling Lake	Putnam Township	Livingston	MI	USA	2014	October	0.8 um filters	Freshwater	0.8-20um
0275D.NorthLake			North Lake	Gregory	Washtenaw	MI	USA	2014	October	Soil	Soil	
0276N.NorthLake			North Lake	Gregory	Washtenaw	MI	USA	2014	October	Sediment	Sediment	
0277D.Bruin			Bruin Lake	Lyndon Township	Washtenaw	MI	USA	2014	October	Soil	Soil	
0278N.BruinLake			Bruin Lake	Lyndon Township	Washtenaw	MI	USA	2014	October	Sediment	Sediment	
0279D.FishHookMarsh			Fish Hook Marsh	NA		MI	USA	2014	October	Soil	Soil	
0280N.FishHookMarsh			Fish Hook Marsh	NA		MI	USA	2014	October	Sediment	Sediment	
0281D.CranePond			Crane Pond	Edwin S. George Reserve	Livingston	MI	USA	2014	October	Soil	Soil	
0283D2.Gosling			Gosling Lake	Putnam Township	Livingston	MI	USA	2014	October	Soil	Soil	
0284N2.Gosling			Gosling Lake	Putnam Township	Livingston	MI	USA	2014	October	Sediment	Sediment	
0285G2.Bishop			Bishop Lake	Hamburg Township	Livingston	MI	USA	2014	November	0.8 um filters	Freshwater	0.8-20um
