Location	UMPB-19	UMPB-210	UMPB-2377	UMPB-2384	UMPB-2387	UMPB-2414	UMPB-2431	UMPB-270	UMPB-2972	UMPB-304	UMPB-515	UMPB-523	UMPB-576	UMPB-695	UMPB-866	UMPB-875	UMPB-98	UMPB-24	UMPB-821	UMPB-1096	UMPB-1858	UMPB-1940	UMPB-2366	UMPB-255	UMPB-2950	UMPB-30	UMPB-3010	UMPB-3030	UMPB-339	UMPB-344	UMPB-438	UMPB-446	UMPB-596	UMPB-608	UMPB-621	UMPB-625	UMPB-651	UMPB-825	UMPB-833	UMPB-1006	UMPB-139	UMPB-17	UMPB-2206	UMPB-2207	UMPB-2213	UMPB-2214	UMPB-227	UMPB-27	UMPB-300	UMPB-3091	UMPB-357	UMPB-501	UMPB-547	UMPB-558	UMPB-565	UMPB-775	UMPB-819	UMPB-906	UMPB-1238	UMPB-125	UMPB-1749	UMPB-1785	UMPB-1821	UMPB-1828	UMPB-1836	UMPB-1850	UMPB-190	UMPB-2052	UMPB-208	UMPB-2215	UMPB-262	UMPB-2904	UMPB-2906	UMPB-2957	UMPB-2987	UMPB-500	UMPB-517	UMPB-588	UMPB-68	UMPB-746	UMPB-786	UMPB-822	UMPB-823	UMPB-991	UMPB-1240	UMPB-241	UMPB-2707	UMPB-514	UMPB-753	UMPB-777	UMPB-161	UMPB-238	UMPB-3128	UMPB-503	UMPB-683	UMPB-1048	UMPB-458	UMPB-601	UMPB-108	UMPB-1478	UMPB-2124	UMPB-505	UMPB-983	UMPB-993	UMPB-1576	UMPB-162	UMPB-1671	UMPB-21	UMPB-265	UMPB-1207	UMPB-130	UMPB-149	UMPB-179	UMPB-2145	UMPB-223	UMPB-305	UMPB-34	UMPB-502	UMPB-506	UMPB-521	UMPB-531	UMPB-550	UMPB-557	UMPB-66	UMPB-71	UMPB-764	UMPB-83	UMPB-919	UMPB-97	UMPB-2419	UMPB-549	UMPB-646	UMPB-102	UMPB-126	UMPB-1291	UMPB-1315	UMPB-1322	UMPB-1328	UMPB-1337	UMPB-140	UMPB-1513	UMPB-1585	UMPB-2053	UMPB-211	UMPB-229	UMPB-42	UMPB-45	UMPB-516	UMPB-522	UMPB-538	UMPB-539	UMPB-555	UMPB-572	UMPB-6	UMPB-671	UMPB-702	UMPB-709	UMPB-73	UMPB-765	UMPB-79	UMPB-85	UMPB-895	UMPB-990	UMPB-1119	UMPB-1229	UMPB-127	UMPB-1372	UMPB-2351	UMPB-327	UMPB-593	UMPB-710	UMPB-854	UMPB-957	UMPB-1543	UMPB-183	UMPB-1915	UMPB-224	UMPB-318	UMPB-526	UMPB-597	UMPB-2275	UMPB-2004	UMPB-2759	UMPB-1138	UMPB-1161	UMPB-609	UMPB-1361	UMPB-153	UMPB-16	UMPB-184	UMPB-2410	UMPB-2650	UMPB-2796	UMPB-2878	UMPB-321	UMPB-437	UMPB-53	UMPB-708	UMPB-77	UMPB-892	UMPB-530	UMPB-1748	UMPB-1304	UMPB-563	UMPB-116	UMPB-739	UMPB-996	UMPB-170	UMPB-65	UMPB-978	UMPB-1111	UMPB-1346	UMPB-2205	UMPB-2211	UMPB-512	UMPB-885	UMPB-122	UMPB-568	UMPB-2264	UMPB-2266	UMPB-58	UMPB-1070	UMPB-1313	UMPB-989	UMPB-189	UMPB-2720	UMPB-509	UMPB-520	UMPB-104	UMPB-136	UMPB-1391	UMPB-1425	UMPB-1794	UMPB-2360	UMPB-243	UMPB-260	UMPB-2902	UMPB-504	UMPB-508	UMPB-659	UMPB-674	UMPB-697	UMPB-87	UMPB-1263	UMPB-226	UMPB-2712	UMPB-1433	UMPB-4
MA139_HuronSB2	1	0	0	0	5	0	3	0	2	0	0	4	0	0	0	8	0	1	0	0	1	1	1	0	2	2	2	2	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	11	0	0	3	2	0	34	0	0	0	11	2	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
MA120_HuronSB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	4	2	0	0	0	1	0	0	0	0	2	0	0	0	3	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0224G_Crooked	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0322G_BryantBog	19	0	0	0	0	0	0	0	0	0	0	16	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	6	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
MA58_LakeErieWLE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0316G_DouglasLake	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0302G_LilePond	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	0	0	0	0	0
0324Q_BryantBog_520	13	0	0	0	3	0	1	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0323G_Lancaster	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0255G_PointHole3m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
