#SampleID	BarcodeSequence	LinkerPrimerSequence	Species	Archipelago	Location	Date	Year	Organ	Diet
300896			Conus abbreviatus	Hawaii	Oahu		Unknown	Int	Worm
301669			Conus abbreviatus	Hawaii	Kahe Point, Oahu	11/6/2000	2000	Int	Worm
301855			Conus abbreviatus	Hawaii	Oahu	10/1/2002	2002	Int	Worm
301964			Conus abbreviatus	Hawaii	Oahu	8/8/1995	1995	Int	Worm
302232			Conus abbreviatus	Hawaii	Malaekahana State Recreation Area	7/3/2009	2009	Int	Worm
301670			Conus anemone	Australia	S. Australia	1-Jan	Unknown	Int	Worm
300678			Conus antoniomonteiroi	Cape Verde	Parda, Sal	8/8/2002	2002	Int	Worm
301966			Conus araneosus	India	Unknown		Unknown	Int	Mollusk
301733			Conus archon	Panama	Islas Perlas	9/29/2000	2000	Int	Worm
301856			Conus archon	Panama	Naos-tank	10/1/2002	2002	Int	Worm
301100			Conus arcuatus	Panama	Gulf of Chiriqui	3/13/2000	2000	Int	Worm
301579			Conus bandanus	Samoa	Front of Tusitala, W of Apia Harbor, Upolu Island	11/14/2000	2000	Int	Mollusk
301971			Conus bandanus	Indonesia	Unknown		Unknown	Int	Mollusk
302124			Conus bandanus	Hawaii	Oahu	7/17/1998	1998	Int	Mollusk
302126			Conus bandanus	Hawaii	Oahu	7/17/1998	1998	Int	Mollusk
301110			Conus brunneus	Panama	Isla Montuosa	9/26/2000	2000	Int	Worm
301672			Conus brunneus	Panama	Punta Burica	5/15/2002	2002	Int	Worm
301737			Conus brunneus	Panama	Islas Perlas	9/27/2000	2000	Int	Worm
302128			Conus brunneus	Panama	Islas Perlas	7/21/1998	1998	Int	Worm
301589			Conus canonicus	American Samoa	Anesasopu	11/16/2000	2000	Int	Mollusk
301675			Conus capitaneus	Samoa	Falelatai, W. Upolu Island	11/15/2000	2000	Int	Worm
301677			Conus catus	American Samoa	Sliding Rock	11/12/2000	2000	Int	Fish
301677-DG			Conus catus	American Samoa	Sliding Rock	11/12/2000	2000	DG	Fish
301859			Conus catus	Hawaii	Unknown	Nov-00	2000	Int	Fish
301859-DG			Conus catus	Hawaii	Unknown	Nov-00	2000	DG	Fish
301978-DG			Conus catus	Hawaii	Oahu	7/23/1998	1998	DG	Fish
301981			Conus catus	Hawaii	Oahu	5/26/1996	1996	Int	Fish
301981-DG			Conus catus	Hawaii	Oahu	5/26/1996	1996	DG	Fish
302489			Conus catus	Guam	Pago Bay	6/11/2008	2008	Int	Fish
302489-DG			Conus catus	Guam	Pago Bay	6/11/2008	2008	DG	Fish
303058			Conus catus	American Samoa	Fatumafuti	3/28/2010	2010	Int	Fish
303058-DG			Conus catus	American Samoa	Fatumafuti	3/28/2010	2010	DG	Fish
303277			Conus catus	American Samoa	Sliding Rock	4/7/2012	2012	Int	Fish
303277-DG			Conus catus	American Samoa	Sliding Rock	4/7/2012	2012	DG	Fish
300901			Conus chaldaeus	Hawaii	Kahe Point, Oahu	6/29/2005	2005	Int	Worm
301223			Conus chaldaeus	American Samoa	front of Petroleum tank area (Tank Farm), Utulei	8/2/2009	2009	Int	Worm
301755			Conus chaldaeus	Indonesia	Palau Island	Jan-96	1996	Int	Worm
301985			Conus chaldaeus	Guam	Unknown	10/10/1997	1997	Int	Worm
301992			Conus chaldaeus	Papua New Guinea	Laing Island		Unknown	Int	Worm
301992-DG			Conus chaldaeus	Papua New Guinea	Laing Island		Unknown	DG	Worm
302491			Conus chaldaeus	Guam	Pago Bay	6/9/2008	2008	Int	Worm
